scenario,reference_label,feature_index,feature,lab_row_count,reference_row_count,lab_finite_count,reference_finite_count,lab_mean,reference_mean,lab_median,reference_median,lab_std,reference_std,lab_min,reference_min,lab_max,reference_max,ks_statistic,feature_importance,importance_times_ks
DDoS,DDoS,44,syn_flag_count,10226,128027,10226,128027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5558903877989015e-06,0.0
DDoS,DDoS,45,rst_flag_count,10226,128027,10226,128027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.223686163344333e-19,0.0
DDoS,DDoS,46,psh_flag_count,10226,128027,10226,128027,0.4570702131820849,0.4544744467963789,0.0,0.0,0.49815362430054483,0.49792311053565713,0.0,0.0,1.0,1.0,0.002595766385705911,0.01536206993729795,3.987634475810133e-05
DDoS,DDoS,47,ack_flag_count,10226,128027,10226,128027,0.5428319968707217,0.5468221547017426,1.0,1.0,0.4981620419542887,0.49780285839786625,0.0,0.0,1.0,1.0,0.003990157831020913,0.009080991340514481,3.623458871078695e-05
DDoS,DDoS,48,urg_flag_count,10226,128027,10226,128027,0.008116565617054566,2.3432557194966685e-05,0.0,0.0,0.08972562053080835,0.004840661949592226,0.0,0.0,1.0,1.0,0.008093133059859592,0.002070000788314706,1.675279181384516e-05
DDoS,DDoS,49,cwe_flag_count,10226,128027,10226,128027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.276849002952574e-08,0.0
DDoS,DDoS,50,ece_flag_count,10226,128027,10226,128027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1609497941481444e-18,0.0
DDoS,DDoS,51,down_up_ratio,10226,128027,10226,128027,0.46078623117543516,0.6241417825927343,0.0,0.0,0.4988521225005937,0.7634214035751813,0.0,0.0,2.0,6.0,0.16448843207183894,0.0003500629198723439,5.758130081629163e-05
DDoS,DDoS,52,average_packet_size,10226,128027,10226,128027,58.64098722762659,822.6120039963724,0.0,897.6153564453125,59.19417856886985,658.842243937207,0.0,3.0,122.14286041259766,2324.199951171875,0.6358033852234295,0.057730422247653464,0.03670519789543606
DDoS,DDoS,53,avg_fwd_segment_size,10226,128027,10226,128027,19.202807855820577,7.401261680123043,0.0,7.0,31.132567926985185,1.2373236965756136,0.0,3.0,153.8000030517578,10.0,0.5012712693135146,0.05618528138697351,0.0281640673175852
