feature,importance_rank,importance,ks_training_vs_experiment_portscan,ks_training_vs_experiment_normal,experiment_portscan_outside_training_range_pct,experiment_portscan_to_training_median_ratio,cicids2017_training_portscan_count,cicids2017_training_portscan_mean,cicids2017_training_portscan_std,cicids2017_training_portscan_min,cicids2017_training_portscan_median,cicids2017_training_portscan_p95,cicids2017_training_portscan_max,cicids2017_training_portscan_percentage_zero,experiment_c_portscan_count,experiment_c_portscan_mean,experiment_c_portscan_std,experiment_c_portscan_min,experiment_c_portscan_median,experiment_c_portscan_p95,experiment_c_portscan_max,experiment_c_portscan_percentage_zero,experiment_c_normal_http_count,experiment_c_normal_http_mean,experiment_c_normal_http_std,experiment_c_normal_http_min,experiment_c_normal_http_median,experiment_c_normal_http_p95,experiment_c_normal_http_max,experiment_c_normal_http_percentage_zero
bwd_packet_length_min,32,0.011785350065507192,1.0,0.9375,100.0,9.0,72655,5.928896903991699,0.637474536895752,0.0,6.0,6.0,48.0,0.8368316014038951,1000,54.00400161743164,0.12649111449718475,54.0,54.0,54.0,58.0,0.0,32,61.875,16.231689453125,0.0,66.0,66.0,66.0,6.25
fwd_header_length,33,0.011315397571790769,0.4901933796710481,0.9352427568646342,0.0,1.0,72655,32.93119430541992,11.717341423034668,0.0,40.0,40.0,328.0,0.005505471061867731,1000,40.02000045776367,0.6324555277824402,40.0,40.0,40.0,60.0,0.0,32,115.625,20.15064239501953,40.0,120.0,120.0,140.0,0.0
subflow_bwd_bytes,34,0.01113357693285563,0.9986924506228064,0.9365503062418278,0.0,9.0,72655,16.44561195373535,345.4771423339844,0.0,6.0,6.0,11595.0,0.633129172114789,1000,54.00400161743164,0.12649111449718475,54.0,54.0,54.0,58.0,0.0,32,518.625,136.5493621826172,0.0,551.0,551.0,617.0,6.25
fwd_packets_s,35,0.011131896346437568,0.8408115064345193,0.9916592113412704,14.399999999999999,33.333334375,72655,35992.3828125,79183.9921875,0.0,20000.0,90909.09375,1000000.0,0.13213130548482555,1000,755426.0625,601945.3125,0.0,666666.6875,2000000.0,2000000.0,0.7000000000000001,32,1110.522216796875,664.2553100585938,0.0,921.7105712890625,2314.727648925781,2686.96826171875,6.25
bwd_header_length,36,0.010368096232830675,0.015773174592251027,0.9361924506228064,0.0,1.0,72655,20.413955688476562,6.063807010650635,0.0,20.0,20.0,296.0,0.06468928497694584,1000,20.0,0.0,20.0,20.0,20.0,20.0,0.0,32,94.375,25.0080623626709,0.0,100.0,100.0,120.0,6.25
total_backward_packets,37,0.010060785405143801,0.004996214988644998,0.9365640699194825,0.0,1.0,72655,1.0082857608795166,0.16529199481010437,0.0,1.0,1.0,9.0,0.06193654944601197,1000,1.0,0.0,1.0,1.0,1.0,1.0,0.0,32,4.71875,1.2504031658172607,0.0,5.0,5.0,6.0,6.25
subflow_bwd_packets,38,0.009650561398480676,0.004996214988644998,0.9365640699194825,0.0,1.0,72655,1.0082857608795166,0.16529199481010437,0.0,1.0,1.0,9.0,0.06193654944601197,1000,1.0,0.0,1.0,1.0,1.0,1.0,0.0,32,4.71875,1.2504031658172607,0.0,5.0,5.0,6.0,6.25
ack_flag_count,39,0.009080991340514481,0.9993668708278852,0.9375,0.0,,72655,0.0006331291515380144,0.025154264643788338,0.0,0.0,0.0,1.0,99.93668708278852,1000,1.0,0.0,1.0,1.0,1.0,1.0,0.0,32,8.5,2.257603645324707,0.0,9.0,9.0,11.0,6.25
init_win_bytes_backward,40,0.008990394223922348,0.012089257449590551,0.9375,0.1,,72655,313.1272888183594,2998.74560546875,-1.0,0.0,0.0,29200.0,98.62500860229854,1000,64.23999786376953,2031.4471435546875,0.0,0.0,0.0,64240.0,99.9,32,61087.5,16025.1044921875,0.0,65160.0,65160.0,65160.0,6.25
bwd_packet_length_std,41,0.008604750670916463,0.0020370242928910987,0.9361924506228064,0.0,,72655,1.9953376054763794,65.28475952148438,0.0,0.0,0.0,2628.88330078125,99.79629757071089,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32,66.56471252441406,17.47725486755371,0.0,71.14042663574219,71.14042663574219,71.14042663574219,6.25
