record_type,scenario,v3_flow_count,v4_flow_count,reliably_matched_flows,unmatched_v3,unmatched_v4,orientation_differences,segmentation_boundary_differences,start_timestamp_difference_seconds,matching,v3_header,v4_header,matched_finite_count,exact_equality_percentage,mean_absolute_difference,max_absolute_difference,mean_symmetric_relative_difference,correlation
feature_comparison,portscan-test,,,,,,,,,,Flow IAT Min,Flow IAT Min,1000.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,portscan-test,,,,,,,,,,Fwd IAT Tot,Fwd IAT Total,1000.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,portscan-test,,,,,,,,,,Fwd IAT Mean,Fwd IAT Mean,1000.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,portscan-test,,,,,,,,,,Fwd IAT Std,Fwd IAT Std,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Fwd IAT Max,Fwd IAT Max,1000.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,portscan-test,,,,,,,,,,Fwd IAT Min,Fwd IAT Min,1000.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,portscan-test,,,,,,,,,,Bwd IAT Tot,Bwd IAT Total,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Bwd IAT Mean,Bwd IAT Mean,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Bwd IAT Std,Bwd IAT Std,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Bwd IAT Max,Bwd IAT Max,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Bwd IAT Min,Bwd IAT Min,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Fwd PSH Flags,Fwd PSH Flags,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Bwd PSH Flags,Bwd PSH Flags,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Fwd URG Flags,Fwd URG Flags,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Bwd URG Flags,Bwd URG Flags,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Fwd Header Len,Fwd Header Length,1000.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,portscan-test,,,,,,,,,,Bwd Header Len,Bwd Header Length,1000.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,portscan-test,,,,,,,,,,Fwd Pkts/s,Fwd Packets/s,1000.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,portscan-test,,,,,,,,,,Bwd Pkts/s,Bwd Packets/s,1000.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,portscan-test,,,,,,,,,,Pkt Len Min,Packet Length Min,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Pkt Len Max,Packet Length Max,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Pkt Len Mean,Packet Length Mean,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Pkt Len Std,Packet Length Std,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Pkt Len Var,Packet Length Variance,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,FIN Flag Cnt,FIN Flag Count,1000.0,100.0,0.0,0.0,0.0,
