comparison,feature,E13-D1_min,E13-D1_q1,E13-D1_median,E13-D1_mean,E13-D1_q3,E13-D1_max,E13-D1_std,E4-frozen-DDoS_min,E4-frozen-DDoS_q1,E4-frozen-DDoS_median,E4-frozen-DDoS_mean,E4-frozen-DDoS_q3,E4-frozen-DDoS_max,E4-frozen-DDoS_std,absolute_median_difference,pooled_standardized_median_difference,robust_median_distance,E13-D2_min,E13-D2_q1,E13-D2_median,E13-D2_mean,E13-D2_q3,E13-D2_max,E13-D2_std,E10-Session-11_min,E10-Session-11_q1,E10-Session-11_median,E10-Session-11_mean,E10-Session-11_q3,E10-Session-11_max,E10-Session-11_std
E13-D1 vs E10-Session-11,fwd_header_length.1,32.0,64.0,64.0,84.85393258426966,104.0,200.0,25.670408793793086,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,64.0,64.0,84.14962593516209,104.0,200.0,24.681492783100115
E13-D1 vs E10-Session-11,fwd_avg_bytes_bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,fwd_avg_packets_bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,fwd_avg_bulk_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,bwd_avg_bytes_bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,bwd_avg_packets_bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,bwd_avg_bulk_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,subflow_fwd_packets,1.0,2.0,2.0,2.5268414481897628,3.0,6.0,0.6907178411478164,,,,,,,,0.0,0.0,0.0,,,,,,,,1.0,2.0,2.0,2.5074812967581046,3.0,6.0,0.6519490726143499
E13-D1 vs E10-Session-11,subflow_fwd_bytes,0.0,0.0,0.0,39.647940074906366,79.0,158.0,39.917206802034684,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,39.401496259351624,79.0,79.0,39.52452608890359
E13-D1 vs E10-Session-11,subflow_bwd_packets,0.0,0.0,1.0,2.056179775280899,4.0,5.0,1.9863508974097324,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,1.0,2.039900249376559,4.0,5.0,1.9795216234491628
E13-D1 vs E10-Session-11,subflow_bwd_bytes,0.0,0.0,0.0,109.86267166042447,220.0,220.0,110.06864275239025,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,109.72568578553616,220.0,220.0,110.06830050074417
E13-D1 vs E10-Session-11,init_win_bytes_forward,251.0,251.0,255.0,32205.566791510613,64240.0,64240.0,32014.45538789229,,,,,,,,2.0,6.247156426993661e-05,0.015625,,,,,,,,-1.0,251.0,253.0,32165.403990024937,64240.0,64240.0,32014.67570631722
E13-D1 vs E10-Session-11,init_win_bytes_backward,-1.0,-1.0,255.0,138.00624219725344,255.0,255.0,127.58585819355635,,,,,,,,0.0,0.0,0.0,,,,,,,,-1.0,-1.0,255.0,136.571072319202,255.0,255.0,127.71638976978434
E13-D1 vs E10-Session-11,act_data_pkt_fwd,0.0,0.0,0.0,0.50187265917603,1.0,2.0,0.5052810987599328,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.49875311720698257,1.0,1.0,0.5003104568215645
E13-D1 vs E10-Session-11,min_seg_size_forward,32.0,32.0,32.0,32.0,32.0,32.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,32.0,32.0,31.960099750623442,32.0,32.0,1.1299592824743179
E13-D1 vs E10-Session-11,active_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,active_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,active_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,active_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,idle_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,idle_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
